Robot Gesture ID,Gesture Type,"Gesture Coordinates (x, y, z)",Timestamp,Gesture Duration (sec),Robot Status,Message ID,Sender,Receiver,Encryption Algorithm Used,Encryption Status,Network Latency (ms),Data Transfer Rate (Mbps),Threat Type,Threat Severity,Response Time (sec),Response Action Taken,Threat Detected
6,Navigation,"(1.35, 0.07, 1.47)",2025-02-14 16:32:27,1.06,Idle,67803,Operator,Robot,Two Fish,Encrypted,14,23,No Threat,High,0.0,None,0
10,Suturing,"(0.58, 0.78, 0.92)",2025-02-14 16:32:27,1.51,Idle,41280,Operator,Robot,Two Fish,Encrypted,9,55,No Threat,Medium,0.0,None,0
1,Incision,"(1.05, 0.72, 0.53)",2025-02-14 16:32:27,2.7,Active,35462,Operator,Robot,Two Fish,Encrypted,7,10,No Threat,High,0.0,None,0
1,Diagnosis,"(1.33, 1.76, 1.44)",2025-02-14 16:32:27,3.24,Active,30516,Robot,Operator,Two Fish,Encrypted,5,23,Man-in-the-Middle Attack,Medium,1.07,Isolate Data,1
6,Cleaning,"(1.05, 1.79, 1.87)",2025-02-14 16:32:27,3.57,Idle,73779,Operator,Robot,Two Fish,Encrypted,18,16,No Threat,Medium,0.0,None,0
1,Cleaning,"(1.37, 0.86, 1.98)",2025-02-14 16:32:27,1.59,Idle,24811,Robot,Operator,Two Fish,Failed,18,86,No Threat,Medium,0.0,None,0
3,Cleaning,"(1.12, 0.55, 1.34)",2025-02-14 16:32:27,4.68,Active,15592,Operator,Robot,Two Fish,Failed,20,70,No Threat,High,0.0,None,0
2,Suturing,"(1.83, 0.45, 0.04)",2025-02-14 16:32:27,1.55,Active,35044,Robot,Operator,Two Fish,Failed,6,67,No Threat,Low,0.0,None,0
4,Suturing,"(1.81, 1.4, 0.36)",2025-02-14 16:32:27,2.34,Idle,50333,Robot,Operator,Two Fish,Failed,18,17,Data Breach,Medium,3.05,Reconnect Connection,1
7,Suturing,"(0.03, 0.54, 0.84)",2025-02-14 16:32:27,2.39,Idle,58234,Robot,Operator,Two Fish,Failed,16,27,Data Breach,Medium,2.95,Isolate Data,1
8,Diagnosis,"(0.58, 1.06, 0.5)",2025-02-14 16:32:27,3.36,Idle,15923,Operator,Robot,Two Fish,Failed,16,62,No Threat,Medium,0.0,None,0
8,Incision,"(0.6, 1.29, 0.86)",2025-02-14 16:32:27,2.27,Active,73615,Robot,Operator,Two Fish,Failed,16,39,No Threat,Medium,0.0,None,0
3,Incision,"(0.48, 0.52, 1.37)",2025-02-14 16:32:27,2.49,Active,70405,Robot,Operator,Two Fish,Encrypted,17,19,Data Breach,Medium,3.05,Isolate Data,1
6,Cleaning,"(1.62, 1.97, 0.04)",2025-02-14 16:32:27,4.41,Idle,66089,Robot,Operator,Two Fish,Encrypted,17,25,No Threat,High,0.0,None,0
10,Diagnosis,"(1.94, 0.78, 1.17)",2025-02-14 16:32:27,3.12,Idle,48192,Operator,Robot,Two Fish,Encrypted,7,42,Data Breach,High,1.7,Isolate Data,1
8,Navigation,"(0.95, 1.71, 1.42)",2025-02-14 16:32:27,2.51,Idle,24336,Robot,Operator,Two Fish,Failed,7,24,Data Breach,Low,4.2,Reconnect Connection,1
8,Navigation,"(1.27, 0.62, 1.7)",2025-02-14 16:32:27,2.71,Active,10622,Operator,Robot,Two Fish,Failed,16,84,Data Breach,Low,1.09,Isolate Data,1
2,Incision,"(0.63, 1.62, 2.0)",2025-02-14 16:32:27,1.47,Idle,59652,Robot,Operator,Two Fish,Encrypted,5,55,Man-in-the-Middle Attack,Low,1.21,Reconnect Connection,1
8,Incision,"(0.27, 1.79, 0.07)",2025-02-14 16:32:27,2.12,Active,47886,Robot,Operator,Two Fish,Failed,11,15,Man-in-the-Middle Attack,Low,1.3,Isolate Data,1
9,Cleaning,"(0.06, 0.09, 0.6)",2025-02-14 16:32:27,4.16,Idle,45278,Robot,Operator,Two Fish,Encrypted,9,53,Data Breach,Medium,1.27,Isolate Data,1
5,Diagnosis,"(1.07, 0.14, 1.21)",2025-02-14 16:32:27,1.69,Active,91875,Operator,Robot,Two Fish,Encrypted,15,96,No Threat,Low,0.0,None,0
2,Diagnosis,"(1.65, 1.89, 0.65)",2025-02-14 16:32:27,4.03,Active,49523,Operator,Robot,Two Fish,Encrypted,12,88,DoS Attack,Low,1.79,Reset Encryption,1
6,Cleaning,"(0.31, 0.94, 1.79)",2025-02-14 16:32:27,3.92,Active,80580,Robot,Operator,Two Fish,Encrypted,19,80,Man-in-the-Middle Attack,High,2.84,Isolate Data,1
9,Diagnosis,"(1.77, 0.21, 0.33)",2025-02-14 16:32:27,3.25,Idle,40516,Robot,Operator,Two Fish,Encrypted,12,63,Data Breach,Medium,4.45,Isolate Data,1
1,Suturing,"(1.56, 1.19, 1.3)",2025-02-14 16:32:27,3.15,Active,97079,Operator,Robot,Two Fish,Failed,6,33,Man-in-the-Middle Attack,Medium,1.97,Reconnect Connection,1
1,Cleaning,"(1.76, 1.7, 0.39)",2025-02-14 16:32:27,2.52,Idle,10555,Robot,Operator,Two Fish,Failed,18,36,No Threat,High,0.0,None,0
4,Suturing,"(0.47, 1.11, 1.04)",2025-02-14 16:32:27,3.36,Active,33110,Robot,Operator,Two Fish,Failed,12,87,Data Breach,Low,2.02,Reconnect Connection,1
7,Navigation,"(1.53, 0.44, 1.29)",2025-02-14 16:32:27,3.56,Idle,33369,Robot,Operator,Two Fish,Failed,10,10,DoS Attack,High,3.76,Reset Encryption,1
3,Navigation,"(1.91, 0.25, 1.65)",2025-02-14 16:32:27,2.82,Idle,16674,Operator,Robot,Two Fish,Failed,18,58,DoS Attack,Low,2.48,Reset Encryption,1
3,Suturing,"(0.59, 1.15, 0.35)",2025-02-14 16:32:27,4.86,Idle,63003,Robot,Operator,Two Fish,Failed,6,83,Man-in-the-Middle Attack,Low,2.92,Reset Encryption,1
3,Suturing,"(1.15, 0.99, 0.36)",2025-02-14 16:32:27,3.8,Active,68046,Robot,Operator,Two Fish,Failed,5,87,No Threat,High,0.0,None,0
10,Incision,"(0.81, 1.85, 0.42)",2025-02-14 16:32:27,4.95,Idle,41968,Operator,Robot,Two Fish,Encrypted,9,35,Data Breach,Low,2.24,Reset Encryption,1
1,Suturing,"(1.92, 0.08, 1.92)",2025-02-14 16:32:27,3.42,Idle,93009,Operator,Robot,Two Fish,Encrypted,19,82,No Threat,Low,0.0,None,0
10,Suturing,"(0.14, 0.99, 1.99)",2025-02-14 16:32:27,2.42,Active,83149,Robot,Operator,Two Fish,Failed,11,39,DoS Attack,Medium,4.39,Isolate Data,1
2,Navigation,"(0.58, 0.99, 0.94)",2025-02-14 16:32:27,3.97,Active,91866,Robot,Operator,Two Fish,Encrypted,17,31,Data Breach,High,2.3,Isolate Data,1
6,Incision,"(1.81, 0.55, 1.83)",2025-02-14 16:32:27,1.24,Idle,34186,Robot,Operator,Two Fish,Encrypted,11,38,Man-in-the-Middle Attack,High,4.24,Reset Encryption,1
6,Incision,"(1.9, 1.63, 0.78)",2025-02-14 16:32:27,1.81,Active,76177,Operator,Robot,Two Fish,Encrypted,13,12,No Threat,Medium,0.0,None,0
2,Diagnosis,"(1.74, 0.67, 1.32)",2025-02-14 16:32:27,2.77,Active,19481,Operator,Robot,Two Fish,Encrypted,13,24,Man-in-the-Middle Attack,Medium,2.56,Isolate Data,1
7,Diagnosis,"(0.32, 1.94, 0.3)",2025-02-14 16:32:27,4.28,Active,88289,Operator,Robot,Two Fish,Encrypted,10,64,Man-in-the-Middle Attack,High,1.38,Reconnect Connection,1
10,Suturing,"(1.52, 1.65, 0.49)",2025-02-14 16:32:27,3.99,Idle,67339,Operator,Robot,Two Fish,Encrypted,15,98,Man-in-the-Middle Attack,Medium,2.46,Reconnect Connection,1
6,Incision,"(1.15, 0.02, 0.56)",2025-02-14 16:32:27,3.84,Active,42238,Robot,Operator,Two Fish,Encrypted,17,26,DoS Attack,Low,4.87,Reconnect Connection,1
1,Suturing,"(0.43, 1.97, 1.34)",2025-02-14 16:32:27,2.9,Idle,30979,Robot,Operator,Two Fish,Encrypted,20,87,Man-in-the-Middle Attack,Medium,2.6,Isolate Data,1
7,Incision,"(1.06, 1.11, 0.13)",2025-02-14 16:32:27,2.08,Idle,75068,Robot,Operator,Two Fish,Encrypted,7,89,No Threat,High,0.0,None,0
2,Diagnosis,"(1.26, 0.72, 1.55)",2025-02-14 16:32:27,4.17,Active,52510,Robot,Operator,Two Fish,Failed,18,26,Data Breach,High,2.21,Isolate Data,1
9,Navigation,"(1.4, 1.76, 1.16)",2025-02-14 16:32:27,3.37,Active,64867,Robot,Operator,Two Fish,Failed,20,37,No Threat,Medium,0.0,None,0
4,Cleaning,"(1.44, 1.38, 1.28)",2025-02-14 16:32:27,1.99,Active,36377,Robot,Operator,Two Fish,Failed,18,34,Data Breach,Medium,3.89,Reset Encryption,1
10,Incision,"(1.4, 0.17, 1.86)",2025-02-14 16:32:27,3.87,Idle,99056,Robot,Operator,Two Fish,Encrypted,16,32,Man-in-the-Middle Attack,High,2.98,Reset Encryption,1
9,Incision,"(0.31, 1.49, 0.19)",2025-02-14 16:32:27,4.56,Idle,67161,Robot,Operator,Two Fish,Encrypted,15,86,Man-in-the-Middle Attack,High,2.86,Reset Encryption,1
4,Diagnosis,"(1.21, 1.93, 0.4)",2025-02-14 16:32:27,4.54,Idle,32500,Robot,Operator,Two Fish,Encrypted,13,60,No Threat,Low,0.0,None,0
2,Diagnosis,"(0.61, 0.04, 1.16)",2025-02-14 16:32:27,4.12,Idle,68105,Robot,Operator,Two Fish,Failed,14,16,DoS Attack,Low,2.31,Reconnect Connection,1
10,Suturing,"(1.49, 0.04, 1.76)",2025-02-14 16:32:27,2.71,Active,40745,Operator,Robot,Two Fish,Encrypted,12,17,No Threat,Low,0.0,None,0
9,Diagnosis,"(1.57, 0.73, 0.26)",2025-02-14 16:32:27,1.4,Idle,83891,Robot,Operator,Two Fish,Encrypted,6,50,Data Breach,High,1.47,Reconnect Connection,1
7,Diagnosis,"(1.69, 1.41, 1.91)",2025-02-14 16:32:27,1.09,Active,24629,Robot,Operator,Two Fish,Encrypted,11,64,No Threat,Medium,0.0,None,0
8,Diagnosis,"(1.39, 0.87, 0.25)",2025-02-14 16:32:27,1.1,Idle,38227,Operator,Robot,Two Fish,Failed,20,27,Man-in-the-Middle Attack,Medium,3.27,Reset Encryption,1
3,Incision,"(0.46, 1.81, 0.37)",2025-02-14 16:32:27,4.14,Idle,53633,Operator,Robot,Two Fish,Encrypted,9,13,DoS Attack,High,3.56,Reconnect Connection,1
7,Diagnosis,"(1.47, 1.5, 1.93)",2025-02-14 16:32:27,3.2,Active,55286,Robot,Operator,Two Fish,Encrypted,16,56,No Threat,High,0.0,None,0
6,Diagnosis,"(0.78, 0.54, 0.71)",2025-02-14 16:32:27,2.91,Active,98125,Robot,Operator,Two Fish,Failed,16,66,No Threat,Low,0.0,None,0
7,Cleaning,"(0.3, 0.59, 1.49)",2025-02-14 16:32:27,3.09,Idle,40690,Robot,Operator,Two Fish,Failed,7,84,Man-in-the-Middle Attack,High,3.16,Reconnect Connection,1
7,Navigation,"(0.9, 1.11, 0.3)",2025-02-14 16:32:27,1.98,Idle,12369,Robot,Operator,Two Fish,Encrypted,10,100,Man-in-the-Middle Attack,Low,3.57,Reset Encryption,1
5,Suturing,"(0.48, 1.89, 0.49)",2025-02-14 16:32:27,4.02,Idle,97300,Operator,Robot,Two Fish,Encrypted,13,29,No Threat,Medium,0.0,None,0
9,Navigation,"(1.29, 1.31, 1.23)",2025-02-14 16:32:27,4.62,Idle,49433,Operator,Robot,Two Fish,Failed,18,61,No Threat,High,0.0,None,0
6,Suturing,"(0.59, 0.88, 1.08)",2025-02-14 16:32:27,3.28,Idle,82013,Robot,Operator,Two Fish,Failed,10,34,No Threat,Low,0.0,None,0
6,Cleaning,"(0.74, 1.14, 1.3)",2025-02-14 16:32:27,3.75,Idle,35591,Operator,Robot,Two Fish,Failed,12,92,DoS Attack,Medium,2.17,Reset Encryption,1
10,Diagnosis,"(1.26, 0.39, 0.87)",2025-02-14 16:32:27,3.71,Idle,41496,Robot,Operator,Two Fish,Failed,8,77,Data Breach,Low,4.26,Reset Encryption,1
10,Navigation,"(1.19, 0.95, 0.49)",2025-02-14 16:32:27,4.57,Active,31542,Operator,Robot,Two Fish,Failed,6,55,Data Breach,High,3.6,Isolate Data,1
1,Navigation,"(0.51, 0.33, 1.65)",2025-02-14 16:32:27,4.9,Active,80113,Robot,Operator,Two Fish,Failed,8,25,Man-in-the-Middle Attack,Medium,4.49,Isolate Data,1
10,Incision,"(0.34, 0.74, 0.36)",2025-02-14 16:32:27,2.25,Idle,98757,Robot,Operator,Two Fish,Failed,19,85,DoS Attack,Low,1.96,Reconnect Connection,1
8,Incision,"(0.57, 1.44, 0.49)",2025-02-14 16:32:27,1.22,Active,87605,Robot,Operator,Two Fish,Encrypted,12,47,No Threat,Medium,0.0,None,0
6,Navigation,"(0.87, 1.41, 0.01)",2025-02-14 16:32:27,3.12,Idle,75736,Robot,Operator,Two Fish,Failed,17,31,DoS Attack,High,1.45,Reset Encryption,1
5,Cleaning,"(0.79, 1.3, 1.98)",2025-02-14 16:32:27,3.34,Idle,87626,Robot,Operator,Two Fish,Encrypted,18,91,Data Breach,High,1.13,Isolate Data,1
5,Incision,"(1.33, 1.97, 1.86)",2025-02-14 16:32:27,2.76,Active,40800,Operator,Robot,Two Fish,Encrypted,16,17,Man-in-the-Middle Attack,Low,1.43,Isolate Data,1
4,Suturing,"(1.4, 1.01, 1.02)",2025-02-14 16:32:27,3.16,Idle,58148,Operator,Robot,Two Fish,Encrypted,10,50,No Threat,High,0.0,None,0
3,Suturing,"(1.55, 1.48, 0.74)",2025-02-14 16:32:27,3.64,Idle,96168,Robot,Operator,Two Fish,Encrypted,6,87,Data Breach,Medium,3.1,Isolate Data,1
3,Suturing,"(1.43, 1.68, 1.83)",2025-02-14 16:32:27,4.5,Idle,91429,Operator,Robot,Two Fish,Failed,20,55,No Threat,Low,0.0,None,0
3,Cleaning,"(1.12, 0.72, 0.52)",2025-02-14 16:32:27,4.7,Idle,33412,Robot,Operator,Two Fish,Encrypted,6,33,DoS Attack,Medium,3.27,Isolate Data,1
6,Cleaning,"(1.54, 1.2, 0.2)",2025-02-14 16:32:27,4.63,Idle,38898,Operator,Robot,Two Fish,Failed,10,89,DoS Attack,High,4.93,Reset Encryption,1
8,Incision,"(1.79, 0.87, 1.26)",2025-02-14 16:32:27,2.06,Active,48456,Operator,Robot,Two Fish,Encrypted,11,86,No Threat,Low,0.0,None,0
3,Suturing,"(1.13, 0.45, 1.14)",2025-02-14 16:32:27,4.94,Active,17214,Operator,Robot,Two Fish,Failed,16,100,No Threat,Medium,0.0,None,0
3,Navigation,"(0.43, 1.43, 0.98)",2025-02-14 16:32:27,4.89,Idle,93038,Robot,Operator,Two Fish,Failed,18,87,No Threat,High,0.0,None,0
1,Incision,"(0.95, 1.06, 0.19)",2025-02-14 16:32:27,2.0,Active,92464,Robot,Operator,Two Fish,Failed,19,76,Data Breach,Low,1.58,Reconnect Connection,1
7,Navigation,"(1.39, 0.09, 0.23)",2025-02-14 16:32:27,2.7,Active,95605,Robot,Operator,Two Fish,Failed,13,94,Data Breach,Low,3.91,Reset Encryption,1
2,Cleaning,"(0.76, 1.58, 1.42)",2025-02-14 16:32:27,3.41,Idle,33466,Robot,Operator,Two Fish,Encrypted,18,54,No Threat,Low,0.0,None,0
3,Cleaning,"(1.45, 1.18, 1.84)",2025-02-14 16:32:27,4.04,Idle,59027,Operator,Robot,Two Fish,Encrypted,18,73,No Threat,Medium,0.0,None,0
4,Navigation,"(0.6, 1.76, 0.25)",2025-02-14 16:32:27,4.59,Active,43166,Robot,Operator,Two Fish,Encrypted,15,86,No Threat,Low,0.0,None,0
8,Diagnosis,"(0.08, 0.88, 1.1)",2025-02-14 16:32:27,3.98,Active,86415,Robot,Operator,Two Fish,Failed,13,36,Data Breach,Medium,3.24,Isolate Data,1
7,Incision,"(1.19, 1.43, 1.77)",2025-02-14 16:32:27,4.77,Active,87995,Robot,Operator,Two Fish,Encrypted,9,51,Man-in-the-Middle Attack,Low,4.79,Reset Encryption,1
8,Navigation,"(1.62, 0.79, 0.95)",2025-02-14 16:32:27,4.51,Idle,31129,Operator,Robot,Two Fish,Encrypted,7,92,Data Breach,Medium,1.13,Reconnect Connection,1
9,Cleaning,"(0.66, 0.36, 1.25)",2025-02-14 16:32:27,4.79,Active,86992,Robot,Operator,Two Fish,Encrypted,15,92,Man-in-the-Middle Attack,High,3.57,Isolate Data,1
2,Cleaning,"(0.17, 1.19, 0.63)",2025-02-14 16:32:27,3.69,Active,19559,Operator,Robot,Two Fish,Failed,8,59,Man-in-the-Middle Attack,Low,2.24,Reset Encryption,1
2,Diagnosis,"(0.86, 1.76, 0.39)",2025-02-14 16:32:27,3.42,Idle,53261,Operator,Robot,Two Fish,Encrypted,7,21,No Threat,Medium,0.0,None,0
7,Cleaning,"(0.02, 1.63, 1.79)",2025-02-14 16:32:27,1.99,Idle,29350,Robot,Operator,Two Fish,Failed,5,52,No Threat,High,0.0,None,0
8,Incision,"(0.71, 1.58, 0.15)",2025-02-14 16:32:27,3.63,Active,59863,Robot,Operator,Two Fish,Encrypted,11,20,Data Breach,Medium,3.07,Reconnect Connection,1
8,Suturing,"(0.96, 0.36, 1.49)",2025-02-14 16:32:27,1.19,Active,91227,Robot,Operator,Two Fish,Encrypted,15,32,Data Breach,Low,2.4,Reset Encryption,1
4,Diagnosis,"(0.91, 1.67, 0.33)",2025-02-14 16:32:27,2.06,Active,25617,Operator,Robot,Two Fish,Encrypted,5,89,Data Breach,High,4.93,Reconnect Connection,1
7,Navigation,"(1.57, 0.69, 0.28)",2025-02-14 16:32:27,1.94,Idle,52205,Operator,Robot,Two Fish,Failed,17,56,Man-in-the-Middle Attack,High,1.87,Isolate Data,1
3,Diagnosis,"(0.41, 0.36, 0.94)",2025-02-14 16:32:27,1.6,Active,98202,Robot,Operator,Two Fish,Encrypted,18,74,No Threat,Low,0.0,None,0
1,Diagnosis,"(0.67, 1.33, 0.79)",2025-02-14 16:32:27,2.06,Active,29530,Robot,Operator,Two Fish,Encrypted,15,43,No Threat,High,0.0,None,0
8,Navigation,"(1.19, 0.52, 0.82)",2025-02-14 16:32:27,1.17,Idle,35789,Robot,Operator,Two Fish,Encrypted,20,14,No Threat,High,0.0,None,0
5,Diagnosis,"(0.28, 1.68, 1.31)",2025-02-14 16:32:27,3.2,Active,15209,Operator,Robot,Two Fish,Encrypted,9,21,No Threat,Low,0.0,None,0
10,Diagnosis,"(1.87, 0.66, 0.45)",2025-02-14 16:32:27,4.18,Idle,16701,Operator,Robot,Two Fish,Encrypted,20,72,No Threat,High,0.0,None,0
7,Navigation,"(0.17, 0.07, 1.01)",2025-02-14 16:32:27,3.46,Idle,37022,Operator,Robot,Two Fish,Failed,14,10,DoS Attack,Low,4.41,Reconnect Connection,1
3,Incision,"(1.53, 1.51, 1.37)",2025-02-14 16:32:27,1.74,Active,55786,Operator,Robot,Two Fish,Failed,12,19,DoS Attack,Low,1.47,Reset Encryption,1
6,Incision,"(0.87, 1.9, 1.23)",2025-02-14 16:32:27,2.11,Active,85395,Robot,Operator,Two Fish,Failed,6,20,DoS Attack,High,4.62,Reset Encryption,1
8,Suturing,"(0.41, 1.38, 0.07)",2025-02-14 16:32:27,4.41,Idle,36117,Operator,Robot,Two Fish,Encrypted,15,64,Data Breach,Low,4.54,Reset Encryption,1
3,Navigation,"(0.21, 0.22, 0.21)",2025-02-14 16:32:27,1.65,Idle,34678,Operator,Robot,Two Fish,Failed,17,91,Data Breach,Medium,3.46,Reconnect Connection,1
5,Navigation,"(0.43, 1.72, 0.83)",2025-02-14 16:32:27,4.77,Idle,93833,Robot,Operator,Two Fish,Encrypted,5,63,Man-in-the-Middle Attack,High,1.8,Isolate Data,1
8,Navigation,"(1.9, 0.87, 0.17)",2025-02-14 16:32:27,1.31,Active,16741,Operator,Robot,Two Fish,Failed,16,32,Man-in-the-Middle Attack,High,2.81,Reset Encryption,1
1,Suturing,"(0.12, 0.46, 1.17)",2025-02-14 16:32:27,4.19,Idle,93862,Robot,Operator,Two Fish,Failed,9,90,No Threat,High,0.0,None,0
9,Cleaning,"(0.82, 0.08, 1.93)",2025-02-14 16:32:27,3.28,Active,89587,Robot,Operator,Two Fish,Failed,17,25,No Threat,Low,0.0,None,0
10,Incision,"(1.35, 1.15, 1.03)",2025-02-14 16:32:27,1.07,Idle,15254,Operator,Robot,Two Fish,Failed,11,35,DoS Attack,Medium,3.26,Isolate Data,1
6,Cleaning,"(1.65, 0.39, 1.39)",2025-02-14 16:32:27,3.73,Active,20365,Robot,Operator,Two Fish,Failed,16,20,Data Breach,Low,4.01,Reset Encryption,1
6,Navigation,"(1.92, 1.86, 1.41)",2025-02-14 16:32:27,4.08,Active,58275,Robot,Operator,Two Fish,Failed,17,52,No Threat,Medium,0.0,None,0
10,Navigation,"(0.54, 1.05, 0.27)",2025-02-14 16:32:27,4.03,Active,36573,Robot,Operator,Two Fish,Failed,20,29,DoS Attack,High,3.92,Reconnect Connection,1
2,Suturing,"(0.26, 0.55, 0.62)",2025-02-14 16:32:27,1.54,Idle,84486,Robot,Operator,Two Fish,Encrypted,18,27,Data Breach,Medium,4.61,Isolate Data,1
2,Diagnosis,"(1.46, 1.33, 1.49)",2025-02-14 16:32:27,4.22,Active,13494,Robot,Operator,Two Fish,Failed,14,57,Man-in-the-Middle Attack,High,1.54,Reset Encryption,1
2,Cleaning,"(1.05, 0.65, 0.7)",2025-02-14 16:32:27,1.75,Active,16824,Robot,Operator,Two Fish,Encrypted,11,91,Man-in-the-Middle Attack,Medium,2.49,Reconnect Connection,1
6,Cleaning,"(0.28, 1.96, 0.02)",2025-02-14 16:32:27,1.32,Active,73955,Operator,Robot,Two Fish,Encrypted,18,72,No Threat,Low,0.0,None,0
5,Incision,"(0.58, 0.87, 0.14)",2025-02-14 16:32:27,1.37,Active,39351,Robot,Operator,Two Fish,Failed,5,85,No Threat,Medium,0.0,None,0
3,Suturing,"(0.04, 0.97, 0.24)",2025-02-14 16:32:27,3.02,Idle,72940,Operator,Robot,Two Fish,Encrypted,6,87,No Threat,High,0.0,None,0
5,Suturing,"(1.15, 0.92, 1.28)",2025-02-14 16:32:27,4.33,Idle,31701,Operator,Robot,Two Fish,Encrypted,19,65,Man-in-the-Middle Attack,High,4.45,Isolate Data,1
9,Cleaning,"(1.44, 1.81, 1.13)",2025-02-14 16:32:27,3.45,Active,40392,Robot,Operator,Two Fish,Encrypted,13,20,Man-in-the-Middle Attack,High,3.46,Reconnect Connection,1
2,Suturing,"(0.21, 0.16, 0.7)",2025-02-14 16:32:27,1.42,Idle,47297,Operator,Robot,Two Fish,Encrypted,17,98,DoS Attack,Low,1.53,Reset Encryption,1
8,Navigation,"(1.38, 0.79, 0.23)",2025-02-14 16:32:27,3.22,Idle,62161,Robot,Operator,Two Fish,Failed,6,59,No Threat,High,0.0,None,0
2,Cleaning,"(0.4, 1.89, 0.88)",2025-02-14 16:32:27,1.95,Idle,11427,Operator,Robot,Two Fish,Encrypted,19,75,Man-in-the-Middle Attack,Medium,1.46,Reconnect Connection,1
10,Cleaning,"(0.06, 1.11, 1.18)",2025-02-14 16:32:27,3.77,Idle,99857,Operator,Robot,Two Fish,Failed,17,12,No Threat,Low,0.0,None,0
7,Diagnosis,"(1.82, 0.41, 0.31)",2025-02-14 16:32:27,1.76,Idle,69902,Operator,Robot,Two Fish,Failed,12,94,Man-in-the-Middle Attack,High,1.37,Isolate Data,1
7,Navigation,"(0.09, 0.99, 1.29)",2025-02-14 16:32:27,4.92,Active,14649,Operator,Robot,Two Fish,Failed,15,100,DoS Attack,High,2.29,Reset Encryption,1
10,Incision,"(0.84, 1.19, 1.22)",2025-02-14 16:32:27,2.13,Active,97748,Robot,Operator,Two Fish,Failed,10,55,DoS Attack,High,2.28,Isolate Data,1
4,Cleaning,"(1.16, 0.42, 1.58)",2025-02-14 16:32:27,3.25,Idle,23758,Robot,Operator,Two Fish,Encrypted,5,30,Man-in-the-Middle Attack,High,3.98,Isolate Data,1
4,Navigation,"(1.88, 0.89, 0.78)",2025-02-14 16:32:27,2.79,Idle,69232,Operator,Robot,Two Fish,Encrypted,13,66,No Threat,High,0.0,None,0
5,Diagnosis,"(1.76, 1.52, 0.03)",2025-02-14 16:32:27,2.28,Active,77888,Robot,Operator,Two Fish,Encrypted,8,63,No Threat,Medium,0.0,None,0
9,Diagnosis,"(0.95, 1.55, 1.07)",2025-02-14 16:32:27,1.78,Idle,11018,Operator,Robot,Two Fish,Failed,10,65,Man-in-the-Middle Attack,Medium,1.68,Reset Encryption,1
5,Cleaning,"(1.8, 0.57, 1.19)",2025-02-14 16:32:27,4.29,Active,26479,Robot,Operator,Two Fish,Failed,18,12,Data Breach,Low,1.56,Isolate Data,1
1,Incision,"(1.05, 1.19, 1.77)",2025-02-14 16:32:27,4.21,Idle,95878,Robot,Operator,Two Fish,Encrypted,9,17,Man-in-the-Middle Attack,Medium,2.22,Reset Encryption,1
5,Suturing,"(1.08, 0.86, 0.12)",2025-02-14 16:32:27,4.93,Idle,27494,Operator,Robot,Two Fish,Encrypted,13,38,Man-in-the-Middle Attack,High,1.84,Reconnect Connection,1
3,Cleaning,"(0.15, 0.06, 1.95)",2025-02-14 16:32:27,2.27,Active,34170,Operator,Robot,Two Fish,Failed,14,31,No Threat,High,0.0,None,0
4,Navigation,"(1.34, 0.86, 1.52)",2025-02-14 16:32:27,2.86,Active,40746,Robot,Operator,Two Fish,Failed,18,50,DoS Attack,High,4.44,Isolate Data,1
10,Suturing,"(1.6, 0.38, 0.76)",2025-02-14 16:32:27,1.48,Idle,15134,Operator,Robot,Two Fish,Failed,11,73,Man-in-the-Middle Attack,High,2.3,Reconnect Connection,1
5,Cleaning,"(1.27, 0.6, 1.33)",2025-02-14 16:32:27,1.82,Idle,96975,Robot,Operator,Two Fish,Encrypted,20,12,No Threat,High,0.0,None,0
9,Cleaning,"(1.6, 0.53, 1.07)",2025-02-14 16:32:27,1.84,Active,47703,Robot,Operator,Two Fish,Encrypted,12,73,DoS Attack,Low,2.31,Isolate Data,1
10,Cleaning,"(0.01, 0.15, 1.36)",2025-02-14 16:32:27,4.29,Idle,77787,Robot,Operator,Two Fish,Encrypted,13,62,DoS Attack,Low,3.09,Isolate Data,1
7,Cleaning,"(1.34, 1.54, 1.24)",2025-02-14 16:32:27,4.97,Idle,11114,Operator,Robot,Two Fish,Failed,18,83,Data Breach,High,4.13,Reconnect Connection,1
6,Incision,"(1.69, 0.97, 1.29)",2025-02-14 16:32:27,4.46,Active,46391,Operator,Robot,Two Fish,Encrypted,9,68,Data Breach,High,4.44,Isolate Data,1
7,Navigation,"(0.0, 0.06, 0.14)",2025-02-14 16:32:27,4.11,Idle,36705,Operator,Robot,Two Fish,Encrypted,17,38,Data Breach,High,1.06,Reset Encryption,1
3,Navigation,"(1.13, 0.72, 0.61)",2025-02-14 16:32:27,2.39,Active,76564,Robot,Operator,Two Fish,Failed,20,89,Man-in-the-Middle Attack,High,4.0,Isolate Data,1
5,Incision,"(0.8, 1.2, 0.03)",2025-02-14 16:32:27,3.39,Active,58115,Robot,Operator,Two Fish,Encrypted,10,86,Data Breach,Medium,4.57,Isolate Data,1
5,Diagnosis,"(0.36, 1.26, 0.13)",2025-02-14 16:32:27,4.97,Idle,80803,Robot,Operator,Two Fish,Encrypted,5,46,Data Breach,Medium,1.69,Reconnect Connection,1
4,Navigation,"(1.11, 1.66, 1.86)",2025-02-14 16:32:27,1.65,Idle,90259,Robot,Operator,Two Fish,Failed,19,71,Man-in-the-Middle Attack,High,3.55,Isolate Data,1
